,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4桁統一のため、コード頭に０つけます。（三品）,,,,,,,,,,,,,,,,,,,
code,復唱用名称,予約時画像必須,診察時画像必須,予約不可,ワード１,ワード２,ワード３,ワード４,ワード５,ワード６,ワード７,ワード８,ワード９,ワード１０,ワード１１,ワード１２,ワード１３,ワード１４,ワード１５
0101,第一内科_感染症グループ,,,,COVID-19,コロナ,インフルエンザ,インフル,肺炎,結核,AIDS,HIV,エイズ,,,,,,
0102,第一内科_呼吸器グループ,,〇,,肺,喘息,肺がん,,,,,,,,,,,,
0103,第一内科_消化管グループ,,,,消化器内科,胃,腸,クローン病,,,,,,,,,,,
0104,第一内科_肝臓グループ,,,,肝臓,肝炎,脂肪肝,肝硬変,肝臓がん,肝不全,,,,,,,,,
0105,第一内科_胆道・脾臓グループ,,,,胆道,膵臓,胆管炎,,,,,,,,,,,,
0199,第一内科,,,,第一内科,,,,,,,,,,,,,,
0201,第二内科_膠原病・リウマチグループ,,,,膠原病,リウマチ,免疫疾患,全身性エリテマトーデス,強皮症,多発性筋炎,,,,,,,,,
0202,第二内科_血液内科グループ,,,,白血病,リンパ腫,造血不全,HTLV-1外来,,,,,,,,,,,
0203,第二内科_内分泌グループ,,,,ホルモン,甲状腺,副腎,脳下垂体,糖尿病,,,,,,,,,,
0299,第二内科,,,,第二内科,,,,,,,,,,,,,,
0301,第三内科_循環器グループ,,,,循環器,心臓,狭心症,心アミロイドーシス診断,心筋梗塞,心不全,カテーテル,動脈硬化,,,,,,,
0302,第三内科_肺高血圧グループ,,,,肺高血圧症,PAH,,,,,,,,,,,,,
0303,第三内科_高血圧・腎臓グループ,,,,透析,腎生検,高血圧,,,,,,,,,,,,
0304,第三内科_脳神経内科グループ,,,,ALS,パーキンソン病,神経筋疾患,脳卒中,ギラン・バレー症候群,重症筋無力症,筋ジストロフィー,神経,てんかん,,,,,,
0305,第三内科_不整脈グループ,,,,不整脈,アブレーション,心房細動,プルカダ症候群,,,,,,,,,,,
0399,第三内科,,,,第三内科,,,,,,,,,,,,,,
0401,第一外科_上部消化管グループ,,,,胃,胃がん,食道がん,,,,,,,,,,,,
0402,第一外科_下部消化管・肛門グループ,,,,腸,大腸がん,小腸がん,炎症性腸疾患,,,,,,,,,,,
0403,第一外科_移植グループ,,,,移植,肝移植,,,,,,,,,,,,,
0404,第一外科_肝胆膵グループ,,,,肝炎,胆石症,,,,,,,,,,,,,
0405,第一外科_小児外科グループ,,,,小児腫瘍,先天性疾患,,,,,,,,,,,,,
0406,第一外科_減量・代謝グループ,,,,減量,代謝,胃バイパス,,,,,,,,,,,,
0407,第一外科_乳腺グループ,,,,乳腺,乳がん,乳房温存手術,トルカプ診断,,,,,,,,,,,
0499,第一外科,,,,第一外科,,,,,,,,,,,,,,
0501,第二外科_呼吸器外科グループ,〇,,,肺がん,,,,,,,,,,,,,,
0502,第二外科_心臓外科グループ,,,,心臓,ステント,冠動脈疾患,,,,,,,,,,,,
0503,第二外科_血管外科グループ,,,,動脈硬化,下肢静脈瘤,シャント,,,,,,,,,,,,
0599,第二外科,,,,第二外科,,,,,,,,,,,,,,
0601,脳神経外科,〇,,,脳,脳腫瘍,脳卒中,水頭症,,,,,,,,,,,
0701,整形外科_脊椎・脊髄グループ,,,,脊椎,脊髄,脊柱変形,脊椎腫瘍,,,,,,,,,,,
0702,整形外科_骨・軟部腫瘍グループ,,〇,,骨,軟部腫瘍,骨粗鬆症,,,,,,,,,,,,
0703,整形外科_股関節グループ,,,,股関節,,,,,,,,,,,,,,
0704,整形外科_手の外科グループ,,,,手,手外科,,,,,,,,,,,,,
0705,整形外科_膝グループ,,,,膝,,,,,,,,,,,,,,
0706,整形外科_肩グループ,,,,肩,,,,,,,,,,,,,,
0707,整形外科_人工関節グループ,,,,人工関節,,,,,,,,,,,,,,
0708,整形外科_小児整形グループ,,,,四肢変形,,,,,,,,,,,,,,
0709,整形外科_リウマチグループ,,,,リウマチ,,,,,,,,,,,,,,
0710,整形外科_足・足関節グループ,,,,足関節,外反母趾,,,,,,,,,,,,,
0799,整形外科,,,,整形外科,,,,,,,,,,,,,,
0801,形成外科,,,〇,形成外科,顔面神経麻痺,ケロイド,漏斗胸,,,,,,,,,,,
0901,産科婦人科_産科グループ,,,,産科,出産,切迫早産,NIPT,里帰り出産,分娩,羊水検査,羊水過多症,,,,,,,
0902,産科婦人科_婦人科グループ,,,,婦人科,癌・癌疑い,高度異形成,内膜細胞診,子宮内膜肥厚,子宮内膜異型増殖症,多発嚢胞,全胞状奇胎,VAIN3,HSIL,子宮頚部の病変,子宮内膜症,,,
0903,産科婦人科_内分泌グループ,,,,内分泌,子宮内膜増殖,子宮筋腫,子宮内腔癒着,更年期障害,卵管水腫,無月経,遅発思春期,分娩後RPOC,胎盤ポリープ,月経異常,,,,
0904,産科婦人科_不妊治療グループ,,,,不妊治療,,,,,,,,,,,,,,
0905,産科婦人科_妊孕性温存グループ,,,,妊孕性温存,,,,,,,,,,,,,,
0999,産科婦人科,,,,産科婦人科,産婦人科,,,,,,,,,,,,,
1001,小児科,,,,小児,子ども,新生児,腎臓,遺伝疾患,未熟児,小児リウマチ,小児アレルギー,小児膠原病,アレルギー,内分泌,遺伝先天性異常,神経,膠原病,小児科
1101,皮膚科,,,〇,皮膚,悪性黒色腫,メラノーマ,頭部血管肉腫,カポジ肉腫,乾癬,脱毛症,皮膚炎,アトピー,無汗症,,,,,
1201,腎泌尿器外科,,〇,,腎臓,膀胱,泌尿器,前立腺,精巣,陰茎,尿道,尿管,結石,膀胱炎,男性不妊症,頻尿,泌尿器科,腎泌尿器外科,小児泌尿器科
1301,耳鼻咽喉・頭頸部外科,,〇,,頭頚部,嚥下障害,頭頸部腫瘤,扁桃腺,甲状腺,耳鼻,耳,鼻,難聴,顔面神経麻痺,メニエール病,音声障害,副鼻腔炎,中耳炎,人工内耳
1401,眼科_緑内障グループ,,,,緑内障,,,,,,,,,,,,,,
1402,眼科_小児・斜視弱視グループ,,,,小児,斜視,弱視,,,,,,,,,,,,
1403,眼科_網膜硝子体グループ,,,,網膜硝子体,白内障,網膜剥離,,,,,,,,,,,,
1404,眼科_ぶどう膜炎グループ,,,,ぶどう膜炎,,,,,,,,,,,,,,
1405,眼科_眼瞼・眼窩・涙道グループ,,,,眼瞼,眼窩,涙道,,,,,,,,,,,,
1406,眼科_角膜グループ,,,,角膜,,,,,,,,,,,,,,
1407,眼科_義眼グループ,,,,義眼,,,,,,,,,,,,,,
1499,眼科,,,,眼科,目,,,,,,,,,,,,,
1501,精神科神経科_一般グループ,,,,難治性気分障害,うつ病,双極性障害,統合失調症,パニック障害,自閉症,摂食障害,,,,,,,,
1502,精神科神経科_難治性気分障害グループ,,,,難治性気分障害,気分障害,,,,,,,,,,,,,
1503,精神科神経科_認知症疾患医療センター,,,,認知症,もの忘れ,アルツハイマー,レビー小体型認知症,,,,,,,,,,,
1504,精神科神経科_睡眠グループ,,,,睡眠,,,,,,,,,,,,,,
1505,精神科神経科_児童思春期グループ,,,,児童思春期,,,,,,,,,,,,,,
1599,精神科神経科,,,,精神科神経科,,,,,,,,,,,,,,
1601,放射線科_治療グループ,,〇（追加9/2）,,放射線治療,画像検査,CT,MRI,,,,,,,,,,,
1602,放射線科_IVRグループ,,〇（追加9/2）,,IVR,血管内治療,動静脈奇形,静脈瑠,塞栓術,塞栓療法,,,,,,,,,
1603,放射線科_RIグループ,,,,RI,骨シンチ,ヨード治療,放射性ヨウ素内用療法,シンチ検査,,,,,,,,,,
1604,放射線科_PET検査グループ,,,,PET検査,,,,,,,,,,,,,,
1699,放射線科,,〇（削除9/2）,,放射線,,,,,,,,,,,,,,
1701,麻酔科_ペインクリニック,,,,ペインクリニック,疼痛,コロナワクチン副反応,痛み,,,,,,,,,,,
1801,歯科口腔外科,,,,口腔外科,口外,歯科,歯医者,口唇口蓋裂,顎関節症,唾液腺,インプラント,親知らず,不正咬合,顎矯正,,,,
1901,痙縮外来,,,,痙縮,こわばり,ボツリヌス,つっぱり,,,,,,,,,,,
2001,食物アレルギー・アナフィラキシー,,,,食物アレルギー,アナフィラキシー,,,,,,,,,,,,,
2101,がんゲノム外来,,,,がんゲノム,,,,,,,,,,,,,,
9999,わからない,,,,,,,,,,,,,,,,,,